pulsar,PB_d,A1_ltsec,e,ndot_per_year,epsilon_us,N_TOAs,MJD_ini,MJD_fin,Mp_Msun,Mc_Msun,iota_rad,iota_deg,sin_i,iota_method
B1855+09,12.32717119160362,9.230780019028435,2.1688423554198296e-05,497.78491395384924,1.233,7758,53358.72747171788,59051.16494936854,1.5318114643306249,0.2617547606873994,1.524595794258763,87.35290447442269,0.9989329452183565,SINI
J0023+0923,,0.034841416700845666,7.079102110080862e-06,1763.1026472143128,3.199,15896,55758.34561311587,59051.41196360513,,,,,,
J0406+3039,6.9557172131008125,2.3192820453864407,1.2378182966031717e-05,686.4603054462347,1.6684999999999999,2446,57755.05345376387,59056.51472240815,,,,,,
J0509+0856,4.90797688754131,2.45802288722662,2.208578170071854e-05,608.7212835407759,6.042,2169,57755.09186572218,59056.55325933703,,,,,,
J0557+1551,4.846550437339862,4.054459471483472,8.63530084611403e-06,115.00344518452155,4.809,525,57389.17646355422,59056.5721636772,,,,,,
J0610-2100,0.2860160019271506,0.07348901624838236,1.5431752375356764e-05,1451.0763269498682,8.382,4885,57713.313600360445,58942.915528847865,,,,,,
J0613-0200,1.1985125567177721,1.0914410994611958,4.1944642450241904e-06,1138.398609671689,1.216,17124,53448.79368107353,58942.95095328224,2.9690622078468465,0.23992810221365443,1.1155941706230499,63.91883762609821,0.8981721698054668,SINI
J0636+5128,,0.008986361232996232,1.4526419303409725e-05,5117.937018952143,5.073,32222,56640.37308473118,58939.94915540538,,,,,,
J0740+6620,4.766944619399036,3.9775561259468026,5.9407397783291695e-06,2123.455137308719,2.942,13401,56640.38645295489,58945.45763811946,2.0016279398258643,0.247009210127321,1.530419098247311,87.68655521578819,0.9991849504491068,SINI
J1012+5307,0.604672713836312,0.5818178445022022,1.2808319237788728e-06,1663.600670490735,3.385,25837,53267.35935333876,58939.973230812284,,,,,,
J1125+7819,15.355445963088533,12.19242502428922,1.2851473396795325e-05,1385.5335944813996,7.611,8723,56640.39887734354,58939.92864889884,,,,,,
J1614-2230,8.686619423151077,11.291197481712834,1.3338550918722174e-06,1598.188392423591,2.39,18445,54724.87388936036,58940.29447553014,1.9344176350278626,0.49443084605355997,1.55678948155655,89.19746688354982,0.9999019057470235,SINI
J1705-1903,,0.10435984244608247,2.7158468885707902e-06,2650.6209277906596,1.688,9871,57579.17849660689,58939.38157664714,,,,,,
J1713+0747,67.82512992640828,32.342422995848274,,1380.8417735674727,0.208,21362,53420.48726588703,59071.0046889238,,,,,,
J1719-1438,0.09070628163592849,0.0018215649079817854,0.0003961177526774237,1846.0756599828549,13.1815,6356,57682.85276199054,58940.40089521362,,,,,,
J1738+0333,0.35479073432316033,0.3434299693308741,1.1193332688450088e-06,818.959757247421,3.0315000000000003,8790,55135.79865640764,59056.07370238898,,,,,,
J1741+1351,16.335347828965023,11.003315589458692,9.981136598534001e-06,506.79394037875664,1.3279999999999998,5582,55042.04281871488,59065.02994929554,0.97579296762775,0.20242303471522502,1.303394554088047,74.679006989581,0.9644606713816313,SINI
J1745+1017,0.7302414212712972,0.08816971510509967,1.6656715228876007e-05,663.6321970493499,2.997,3017,57390.60229951522,59051.099265906465,,,,,,
J1802-2124,0.6988892433269042,3.7188619644108427,3.381933749309519e-06,1965.9369098711122,6.133,6796,57682.916425426396,58945.54036189989,,,,,,
J1811-2405,6.2723019699055955,5.705656360136875,1.1697529605708168e-06,1523.351101830595,2.3905000000000003,5266,57682.940728009,58945.556088111254,2.141149007656119,0.3267153694373122,1.2876680141606314,73.7779426253961,0.9601862102501348,SINI
J1909-3744,1.5334494520637396,1.8979910123004033,1.0862107232082532e-07,2037.8507471903238,0.488,31526,53292.01653199167,58942.51449700509,1.4925647936352209,0.20869663583955864,1.507749746691625,86.38769704734908,0.9980132225981544,SINI
J1909-3744gbt,1.5334494520614774,1.8979910161064748,1.0778646673197037e-07,2037.8507471903238,0.488,31526,53292.01653199167,58942.51449700509,1.4908299239140148,0.20853920546210342,1.5079511783237975,86.39923822973299,0.9980258935150326,SINI
J2017+0603,2.198481136257871,2.1929199380627966,6.988790782136909e-06,421.86530975526034,1.773,3512,55989.62046299931,59030.30186139202,2.0196387556034052,0.2473577829926833,1.1851558371412523,67.90442753348769,0.9265577008493503,SINI
J2043+1711,1.4822907863878791,1.623958091688448,5.025154034172811e-06,817.2426488290575,1.027,7397,55760.26158686415,59066.20047034149,1.5881038116041388,0.18950731211996452,1.4326221626703615,82.08320355791618,0.9904691283664571,SINI
J2145-0750,6.838902509638842,10.164109404726439,1.9317391128926364e-05,1201.867337065642,2.363,18675,53267.18325416637,58942.554852710324,,,,,,
J2214+3000,,0.05908148890082091,1.965724145493108e-05,879.5096442568245,4.3845,7406,55989.64882777356,59065.27343025956,,,,,,
J2234+0944,0.41966003730127166,0.06842978404133411,6.648377231063678e-06,1061.4029804752406,2.745,7535,56458.38346315,59051.32770829215,,,,,,
J2317+1439,2.4593314651568647,2.313948655411698,4.739151073769319e-07,890.1726244879305,1.636,13927,53355.88800509385,59070.32654214299,,,,,,
